Group_Variable,Group_Value,Sample_Size,MAE,RMSE,Mean_Directional_Error
Gap Bucket,Medium (15-60 days),48285,33.645165794817785,35.86620493379266,-33.595201179595136
Gap Bucket,Short (1-14 days),4464,9.069733591483768,10.151291670428973,-8.033568074540026
Gap Bucket,Long (>60 days),8576,75.5858472702676,77.63352243056377,-75.2921905538497
Gap Bucket,Zero Gap (Same Day),13163,1.1932364027534053,3.8336273207941964,1.1932364027534053
State,Maharashtra,74488,31.26644450266376,39.19872367149198,-30.716429388114452
Judge Position,chief_judicial_magistrate,23944,33.41067130805556,42.25022674569526,-33.32991175925096
Judge Position,civil_judge_junior,14327,32.786765325580184,39.75323669300288,-31.943178161210753
Judge Position,district_and_sessions,12787,36.369307781799925,43.210870631641185,-35.328028381142644
Judge Position,other,10506,29.152048453644685,36.253613054965555,-28.639956601127313
Judge Position,civil_judge_senior,9510,20.334172830300194,28.1958012259126,-19.78407801679266
