Feature,Mean_Absolute_SHAP
case_type_str_cri.bail appln.,5.349577
type_name_1689,2.077723
ddl_filing_judge_id_350.0,1.0504669
court_no_21,0.95772576
ddl_filing_judge_id_298.0,0.8852161
type_name_2594,0.8061243
ddl_filing_judge_id_323.0,0.6779374
type_name_3425,0.66365176
ddl_filing_judge_id_326.0,0.65909004
ddl_filing_judge_id_540.0,0.5804999
court_str_CIVIL-CUM-CRIMINAL COURT BHADGAON,0.47879887
type_name_4874,0.43995807
case_type_str_macp. m.a.,0.43616015
ddl_filing_judge_id_354.0,0.42814067
type_name_6111,0.4059808
ddl_filing_judge_id_331.0,0.40597424
ddl_filing_judge_id_50.0,0.36118233
type_name_2962,0.35063857
court_no_2,0.33240116
type_name_2817,0.3260621
female_petitioner_clean_UNCLEAR,0.31456816
court_no_3,0.3129747
ddl_filing_judge_id_605.0,0.3128678
female_defendant_clean_UNCLEAR,0.30580378
court_prior_active_backlog,0.2965634
case_type_str_m.a.n.r.j.i.,0.27451017
dist_code_1,0.25046977
case_type_str_m.c.a.,0.2474186
ddl_filing_judge_id_1014.0,0.24708393
filing_month,0.2441811
female_adv_def_clean_0,0.23584114
court_no_9,0.21685983
court_no_19,0.19068581
female_defendant_clean_FEMALE,0.17898889
case_type_str_r.c.a.,0.17871238
type_name_4016,0.17386466
case_type_str_spl case mseb,0.16493464
type_name_4563,0.16236736
female_defendant_clean_MALE,0.1583494
case_type_str_cri.m.a.,0.15580839
ddl_filing_judge_id_215.0,0.15562673
dist_code_2,0.15537794
court_str_Civil Court J.D. Shindkheda,0.15410586
type_name_6143,0.14812331
ddl_filing_judge_id_252.0,0.14327696
court_str_Civil Court Senior Division Nandurbar,0.14021845
type_name_3020,0.13079405
case_type_str_marriage petn.,0.12859285
type_name_2312,0.127655
case_type_str_cri.appeal,0.1270065
court_no_14,0.12672624
type_name_5272,0.12600382
ddl_filing_judge_id_1125.0,0.12560597
type_name_3784,0.1248956
type_name_1441,0.121976145
type_name_5039,0.12108069
ddl_filing_judge_id_609.0,0.120444395
court_no_15,0.11815662
case_type_str_m.a.c.p.,0.11772142
female_petitioner_clean_FEMALE,0.117083095
type_name_2992,0.11708251
female_adv_pet_clean_1,0.115853615
court_prior_delay_rate,0.115082115
casetype_prior_delay_rate,0.11387567
female_defendant_clean_MISSING,0.11359556
case_type_str_l.a.r.,0.113148294
type_name_6199,0.11210583
ddl_filing_judge_id_1056.0,0.11178964
type_name_4626,0.11140972
type_name_1924,0.107626796
case_category_Other/Unknown/Unclassified,0.10553967
case_category_High-Confidence Criminal,0.10398694
case_type_str_reg dkst,0.10376864
type_name_1907,0.10252784
type_name_4827,0.10189866
court_prior_avg_duration,0.09994272
type_name_5506,0.094202034
ddl_filing_judge_id_217.0,0.09381014
type_name_3786,0.09286854
type_name_5846,0.091499746
court_no_11,0.09121767
female_adv_pet_clean_0,0.09083917
type_name_5197,0.08949463
filing_day_of_week,0.08918228
judge_gender_1 female,0.08639372
female_adv_pet_clean_-2,0.08480925
type_name_2587,0.08399057
female_adv_def_clean_-2,0.08395427
court_no_7,0.080109626
type_name_4157,0.07986719
female_adv_def_clean_1,0.07859698
type_name_1423,0.07630053
type_name_2765,0.07564377
case_type_str_r.c.c.,0.07562146
case_type_str_darkhast,0.07554237
court_str_CIVIL CUM CRIMINAL COURT BHUSAWAL,0.07495335
type_name_4400,0.07304761
court_no_18,0.07089977
case_type_str_civil m.a.,0.06687679
type_name_3633,0.065157734
type_name_1696,0.061325636
judge_position_clean_civil_judge_junior,0.06119631
court_str_CIVIL COURT SR.DIVN. AMALNER,0.057445332
type_name_1429,0.056909345
court_no_4,0.055713005
court_str_Civil Court J.D. Shirpur,0.05484217
court_no_13,0.053889263
type_name_5367,0.053082604
type_name_3674,0.05299403
ddl_filing_judge_id_178.0,0.049704224
case_type_str_cri.rev.app.,0.049268022
case_type_str_juvenile,0.049192544
case_type_str_r.c.s.,0.04738808
judge_position_clean_civil_judge_senior,0.045529027
