model_feature,parent_feature,feature_group,human_readable_description
case_type_str_cri.bail appln.,case_type_str,Basic Case,Standardized case type string
type_name_1689,type_name,Basic Case,Granular case type name identifier
ddl_filing_judge_id_350.0,ddl_filing_judge_id,Judge,Filing judge identifier
court_no_21,court_no,Court,Numeric court identifier
ddl_filing_judge_id_298.0,ddl_filing_judge_id,Judge,Filing judge identifier
type_name_2594,type_name,Basic Case,Granular case type name identifier
ddl_filing_judge_id_323.0,ddl_filing_judge_id,Judge,Filing judge identifier
type_name_3425,type_name,Basic Case,Granular case type name identifier
ddl_filing_judge_id_326.0,ddl_filing_judge_id,Judge,Filing judge identifier
ddl_filing_judge_id_540.0,ddl_filing_judge_id,Judge,Filing judge identifier
court_str_CIVIL-CUM-CRIMINAL COURT BHADGAON,court_str,Court,Court establishment name string
type_name_4874,type_name,Basic Case,Granular case type name identifier
case_type_str_macp. m.a.,case_type_str,Basic Case,Standardized case type string
ddl_filing_judge_id_354.0,ddl_filing_judge_id,Judge,Filing judge identifier
type_name_6111,type_name,Basic Case,Granular case type name identifier
ddl_filing_judge_id_331.0,ddl_filing_judge_id,Judge,Filing judge identifier
ddl_filing_judge_id_50.0,ddl_filing_judge_id,Judge,Filing judge identifier
type_name_2962,type_name,Basic Case,Granular case type name identifier
court_no_2,court_no,Court,Numeric court identifier
type_name_2817,type_name,Basic Case,Granular case type name identifier
female_petitioner_clean_UNCLEAR,female_petitioner_clean,Basic Case,Indicator for female petitioner presence
court_no_3,court_no,Court,Numeric court identifier
ddl_filing_judge_id_605.0,ddl_filing_judge_id,Judge,Filing judge identifier
female_defendant_clean_UNCLEAR,female_defendant_clean,Basic Case,Indicator for female defendant presence
court_prior_active_backlog,court_prior_active_backlog,Historical,Active backlog count of the court at filing
case_type_str_m.a.n.r.j.i.,case_type_str,Basic Case,Standardized case type string
dist_code_1,dist_code,Court,District code identifier
case_type_str_m.c.a.,case_type_str,Basic Case,Standardized case type string
ddl_filing_judge_id_1014.0,ddl_filing_judge_id,Judge,Filing judge identifier
filing_month,filing_month,Basic Case,Month of case filing
female_adv_def_clean_0,female_adv_def_clean,Basic Case,Indicator for female defense advocate
court_no_9,court_no,Court,Numeric court identifier
court_no_19,court_no,Court,Numeric court identifier
female_defendant_clean_FEMALE,female_defendant_clean,Basic Case,Indicator for female defendant presence
case_type_str_r.c.a.,case_type_str,Basic Case,Standardized case type string
type_name_4016,type_name,Basic Case,Granular case type name identifier
case_type_str_spl case mseb,case_type_str,Basic Case,Standardized case type string
type_name_4563,type_name,Basic Case,Granular case type name identifier
female_defendant_clean_MALE,female_defendant_clean,Basic Case,Indicator for female defendant presence
case_type_str_cri.m.a.,case_type_str,Basic Case,Standardized case type string
ddl_filing_judge_id_215.0,ddl_filing_judge_id,Judge,Filing judge identifier
dist_code_2,dist_code,Court,District code identifier
court_str_Civil Court J.D. Shindkheda,court_str,Court,Court establishment name string
type_name_6143,type_name,Basic Case,Granular case type name identifier
ddl_filing_judge_id_252.0,ddl_filing_judge_id,Judge,Filing judge identifier
court_str_Civil Court Senior Division Nandurbar,court_str,Court,Court establishment name string
type_name_3020,type_name,Basic Case,Granular case type name identifier
case_type_str_marriage petn.,case_type_str,Basic Case,Standardized case type string
type_name_2312,type_name,Basic Case,Granular case type name identifier
case_type_str_cri.appeal,case_type_str,Basic Case,Standardized case type string
court_no_14,court_no,Court,Numeric court identifier
type_name_5272,type_name,Basic Case,Granular case type name identifier
ddl_filing_judge_id_1125.0,ddl_filing_judge_id,Judge,Filing judge identifier
type_name_3784,type_name,Basic Case,Granular case type name identifier
type_name_1441,type_name,Basic Case,Granular case type name identifier
type_name_5039,type_name,Basic Case,Granular case type name identifier
ddl_filing_judge_id_609.0,ddl_filing_judge_id,Judge,Filing judge identifier
court_no_15,court_no,Court,Numeric court identifier
case_type_str_m.a.c.p.,case_type_str,Basic Case,Standardized case type string
female_petitioner_clean_FEMALE,female_petitioner_clean,Basic Case,Indicator for female petitioner presence
type_name_2992,type_name,Basic Case,Granular case type name identifier
female_adv_pet_clean_1,female_adv_pet_clean,Basic Case,Indicator for female petitioner advocate
court_prior_delay_rate,court_prior_delay_rate,Historical,Historical delay rate of the court at filing
casetype_prior_delay_rate,casetype_prior_delay_rate,Historical,Historical delay rate for the specific case type
female_defendant_clean_MISSING,female_defendant_clean,Basic Case,Indicator for female defendant presence
case_type_str_l.a.r.,case_type_str,Basic Case,Standardized case type string
type_name_6199,type_name,Basic Case,Granular case type name identifier
ddl_filing_judge_id_1056.0,ddl_filing_judge_id,Judge,Filing judge identifier
type_name_4626,type_name,Basic Case,Granular case type name identifier
type_name_1924,type_name,Basic Case,Granular case type name identifier
case_category_Other/Unknown/Unclassified,case_category,Basic Case,Case category ID
case_category_High-Confidence Criminal,case_category,Basic Case,Case category ID
case_type_str_reg dkst,case_type_str,Basic Case,Standardized case type string
type_name_1907,type_name,Basic Case,Granular case type name identifier
type_name_4827,type_name,Basic Case,Granular case type name identifier
court_prior_avg_duration,court_prior_avg_duration,Historical,Historical average duration of the court at filing
type_name_5506,type_name,Basic Case,Granular case type name identifier
ddl_filing_judge_id_217.0,ddl_filing_judge_id,Judge,Filing judge identifier
type_name_3786,type_name,Basic Case,Granular case type name identifier
type_name_5846,type_name,Basic Case,Granular case type name identifier
court_no_11,court_no,Court,Numeric court identifier
female_adv_pet_clean_0,female_adv_pet_clean,Basic Case,Indicator for female petitioner advocate
type_name_5197,type_name,Basic Case,Granular case type name identifier
filing_day_of_week,filing_day_of_week,Basic Case,Day of the week of case filing
judge_gender_1 female,judge_gender,Judge,Judge gender
female_adv_pet_clean_-2,female_adv_pet_clean,Basic Case,Indicator for female petitioner advocate
type_name_2587,type_name,Basic Case,Granular case type name identifier
female_adv_def_clean_-2,female_adv_def_clean,Basic Case,Indicator for female defense advocate
court_no_7,court_no,Court,Numeric court identifier
type_name_4157,type_name,Basic Case,Granular case type name identifier
